Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Aguascalientes,Aguascalientes,2.0,2.0,0.0,0.0,2019-10-18
Baja California,Ensenada,1.0,1.0,0.0,0.0,2019-10-18
Baja California,Mexicali,1.0,0.0,1.0,0.0,2019-10-18
Baja California,Tijuana,4.0,2.0,1.0,1.0,2019-10-18
Baja California Sur,Los Cabos,1.0,0.0,0.0,1.0,2019-10-18
Chihuahua,Chihuahua,3.0,0.0,0.0,3.0,2019-10-18
Chihuahua,Cuauhtémoc,1.0,0.0,0.0,1.0,2019-10-18
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2019-10-18
Ciudad de México,"Gustavo A. 
Madero",1.0,1.0,0.0,0.0,2019-10-18
Colima,Villa de Álvarez,1.0,1.0,0.0,0.0,2019-10-18
Guanajuato,Abasolo,1.0,1.0,0.0,0.0,2019-10-18
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2019-10-18
Guanajuato,León,7.0,7.0,0.0,0.0,2019-10-18
Guanajuato,Salamanca,3.0,3.0,0.0,0.0,2019-10-18
Guerrero,"Chilpancingo de 
los Bravo",1.0,1.0,0.0,0.0,2019-10-18
Guerrero,Eduardo Neri,1.0,0.0,0.0,1.0,2019-10-18
Guerrero,Figueroa,1.0,1.0,0.0,0.0,2019-10-18
Guerrero,Huitzuco de los,1.0,1.0,0.0,0.0,2019-10-18
Jalisco,Guadalajara,2.0,1.0,1.0,0.0,2019-10-18
Michoacán,Ario,1.0,0.0,1.0,0.0,2019-10-18
Michoacán,Buenavista,1.0,1.0,0.0,0.0,2019-10-18
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-10-18
Morelos,Jiutepec,2.0,2.0,0.0,0.0,2019-10-18
Estado de México,Chimalhuacán,1.0,0.0,0.0,1.0,2019-10-18
Nuevo León,Apodaca,1.0,0.0,0.0,1.0,2019-10-18
Nuevo León,García,1.0,1.0,0.0,0.0,2019-10-18
Nuevo León,Monterrey,1.0,1.0,0.0,0.0,2019-10-18
Oaxaca,"Oaxaca de 
Juárez",1.0,1.0,0.0,0.0,2019-10-18
Oaxaca,"Ocotlán de 
Morelos",1.0,1.0,0.0,0.0,2019-10-18
Oaxaca,"San Martín 
Itunyoso",1.0,1.0,0.0,0.0,2019-10-18
Puebla,Huauchinango,1.0,1.0,0.0,0.0,2019-10-18
Puebla,Puebla,1.0,1.0,0.0,0.0,2019-10-18
Puebla,Teziutlán,1.0,1.0,0.0,0.0,2019-10-18
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2019-10-18
San Luis Potosí,San Luis Potosí,2.0,1.0,1.0,0.0,2019-10-18
Sinaloa,Culiacán,11.0,2.0,0.0,9.0,2019-10-18
Sinaloa,Sinaloa,1.0,1.0,0.0,0.0,2019-10-18
Sonora,Cajeme,1.0,0.0,1.0,0.0,2019-10-18
Sonora,Hermosillo,2.0,2.0,0.0,0.0,2019-10-18
Sonora,"San Luis Río 
Colorado",1.0,1.0,0.0,0.0,2019-10-18
Veracruz,Las Choapas,2.0,2.0,0.0,0.0,2019-10-18
Veracruz,"San Juan 
Evangelista",1.0,1.0,0.0,0.0,2019-10-18
Veracruz,Teocelo,3.0,3.0,0.0,0.0,2019-10-18
Veracruz,Xalapa,1.0,1.0,0.0,0.0,2019-10-18
Zacatecas,"Tlaltenango de 
Sánchez Román",1.0,0.0,1.0,0.0,2019-10-18
