Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Chihuahua,Chihuahua,4,,,,2019-01-13
Chihuahua,Juárez,3,,,,2019-01-13
Ciudad de México,Cuauhtémoc,2,,,,2019-01-13
Ciudad de México,Iztapalapa,1,,,,2019-01-13
Ciudad de México,La Magdalena Contreras,2,,,,2019-01-13
Ciudad de México,Venustiano Carranza,1,,,,2019-01-13
Coahuila,Piedras Negras,1,,,,2019-01-13
Coahuila,Torreón,1,,,,2019-01-13
Estado de México,Calimaya,1,,,,2019-01-13
Estado de México,Ecatepec De Morelos,2,,,,2019-01-13
Estado de México,Naucalpan De Juárez,1,,,,2019-01-13
Estado de México,Nezahualcóyotl,1,,,,2019-01-13
Estado de México,Tecámac,1,,,,2019-01-13
Estado de México,Tlalnepantla De Baz,1,,,,2019-01-13
Guanajuato,Celaya,1,,,,2019-01-13
Guanajuato,Irapuato,3,,,,2019-01-13
Guanajuato,Jaral Del Progreso,1,,,,2019-01-13
Guanajuato,Yuriria,1,,,,2019-01-13
Guerrero,Acapulco De Juárez,1,,,,2019-01-13
Hidalgo,Tlaxcoapan,1,,,,2019-01-13
Hidalgo,Tula De Allende,1,,,,2019-01-13
Michoacán,Buenavista,1,,,,2019-01-13
Michoacán,Morelia,2,,,,2019-01-13
Morelos,Emiliano Zapata,1,,,,2019-01-13
Morelos,Jojutla,1,,,,2019-01-13
Morelos,Temixco,2,,,,2019-01-13
Morelos,Yautepec,3,,,,2019-01-13
Nuevo León,Cadereyta Jiménez,1,,,,2019-01-13
Oaxaca,Zaragoza,1,,,,2019-01-13
Oaxaca,Putla Villa De Guerrero,1,,,,2019-01-13
Oaxaca,Santo Domingo Petapa,2,,,,2019-01-13
Oaxaca,Santo Domingo Tehuantepec,1,,,,2019-01-13
Puebla,Atlixco,1,,,,2019-01-13
Quintana Roo,Benito Juárez,3,,,,2019-01-13
San Luis Potosí,Soledad De Graciano Sánchez,1,,,,2019-01-13
Sinaloa,Culiacán,2,,,,2019-01-13
Sonora,Cajeme,6,,,,2019-01-13
Sonora,Hermosillo,3,,,,2019-01-13
Tamaulipas,Reynosa,1,,,,2019-01-13
Tamaulipas,Tampico,1,,,,2019-01-13
Veracruz,Coatzacoalcos,1,,,,2019-01-13
Veracruz,Córdoba,1,,,,2019-01-13
Veracruz,Jalacingo,2,,,,2019-01-13
Veracruz,Misantla,1,,,,2019-01-13
Veracruz,Tecolutla,1,,,,2019-01-13
Veracruz,Xalapa,1,,,,2019-01-13
Veracruz,Álamo Temapache,1,,,,2019-01-13
Zacatecas,Loreto,1,,,,2019-01-13
