Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,8,8.0,0.0,0.0,2019-02-01
Baja California Sur,La Paz,1,1.0,0.0,0.0,2019-02-01
Chiapas,"San Cristóbal 
de las Casas",1,1.0,0.0,0.0,2019-02-01
Chihuahua,Chihuahua,2,2.0,0.0,0.0,2019-02-01
Chihuahua,"Hidalgo del 
Parral",3,3.0,0.0,0.0,2019-02-01
Chihuahua,Juárez,1,1.0,0.0,0.0,2019-02-01
Ciudad de México,Cuauhtémoc,1,0.0,0.0,1.0,2019-02-01
Ciudad de México,Iztapalapa,2,2.0,0.0,0.0,2019-02-01
Coahuila,Torreón,1,1.0,0.0,0.0,2019-02-01
Colima,Manzanillo,3,0.0,0.0,3.0,2019-02-01
Estado de México,Chalco,2,0.0,1.0,1.0,2019-02-01
Estado de México,"Ixtapan de la 
Sal",2,2.0,0.0,0.0,2019-02-01
Estado de México,Nicolás Romero,1,1.0,0.0,0.0,2019-02-01
Estado de México,"San Mateo 
Atenco",1,1.0,0.0,0.0,2019-02-01
Estado de México,Tecámac,1,1.0,0.0,0.0,2019-02-01
Guanajuato,León,2,2.0,0.0,0.0,2019-02-01
Guanajuato,Salamanca,1,1.0,0.0,0.0,2019-02-01
Guanajuato,Silao,3,2.0,1.0,0.0,2019-02-01
Guanajuato,"Valle de 
Santiago",2,2.0,0.0,0.0,2019-02-01
Guerrero,Marquelia,1,1.0,0.0,0.0,2019-02-01
Guerrero,Pungarabato,1,1.0,0.0,0.0,2019-02-01
Guerrero,"Tlapa de 
Comonfort",2,1.0,0.0,1.0,2019-02-01
Hidalgo,"Tulancingo de 
Bravo",1,1.0,0.0,0.0,2019-02-01
Jalisco,Guadalajara,1,1.0,0.0,0.0,2019-02-01
Jalisco,"Lagos de 
Moreno",2,2.0,0.0,0.0,2019-02-01
Jalisco,"San Pedro 
Tlaquepaque",3,2.0,1.0,0.0,2019-02-01
Jalisco,"Tlajomulco de 
Zúñiga",1,1.0,0.0,0.0,2019-02-01
Jalisco,Zapopan,1,1.0,0.0,0.0,2019-02-01
Michoacán,Tangamandapio,2,1.0,1.0,0.0,2019-02-01
Michoacán,Uruapan,4,4.0,0.0,0.0,2019-02-01
Michoacán,Zamora,1,1.0,0.0,0.0,2019-02-01
Michoacán,Ziracuaretiro,2,2.0,0.0,0.0,2019-02-01
Nuevo León,"Cadereyta 
Jiménez",1,1.0,0.0,0.0,2019-02-01
Nuevo León,Salinas Victoria,3,0.0,3.0,0.0,2019-02-01
Oaxaca,"Santa Lucía del 
Camino",1,1.0,0.0,0.0,2019-02-01
Puebla,Tehuacán,1,1.0,0.0,0.0,2019-02-01
Puebla,Xicotepec,1,1.0,0.0,0.0,2019-02-01
Quintana Roo,Benito Juárez,1,1.0,0.0,0.0,2019-02-01
Quintana Roo,Solidaridad,1,1.0,0.0,0.0,2019-02-01
Sonora,Altar,1,1.0,0.0,0.0,2019-02-01
Sonora,Cajeme,2,0.0,0.0,2.0,2019-02-01
Sonora,"San Luis Río 
Colorado",3,2.0,0.0,1.0,2019-02-01
Tabasco,Huimanguillo,3,3.0,0.0,0.0,2019-02-01
Tlaxcala,Tzompantepec,1,1.0,0.0,0.0,2019-02-01
Veracruz,Córdoba,1,1.0,0.0,0.0,2019-02-01
Zacatecas,"Villa González 
Ortega",1,0.0,1.0,0.0,2019-02-01
